Date,Open,High,Low,Close,Adj Close,Volume
2010-12-20,115.120003,115.290001,114.809998,114.930000,94.824348,96900
2010-12-21,114.980003,115.070000,114.699997,114.959999,94.849068,129100
2010-12-22,114.930000,114.959999,114.610001,114.779999,94.700539,102800
2010-12-23,114.550003,114.550003,114.400002,114.459999,94.436478,48300
2010-12-27,114.330002,114.610001,114.150002,114.589996,94.543808,53000
2010-12-28,114.320000,114.360001,113.660004,113.820000,94.070206,147000
2010-12-29,113.870003,114.720001,113.820000,114.639999,94.747917,129000
2010-12-30,114.550003,114.550003,114.269997,114.459999,94.599129,54800
2010-12-31,114.430000,114.839996,114.430000,114.650002,94.756210,32200
2011-01-03,114.360001,114.779999,114.250000,114.709999,94.805786,88500
2011-01-04,114.800003,114.980003,114.629997,114.779999,94.863632,40500
2011-01-05,114.239998,114.300003,113.959999,114.139999,94.334656,66400
2011-01-06,114.300003,114.470001,114.199997,114.389999,94.541321,231900
2011-01-07,114.620003,115.129997,114.589996,114.970001,95.020653,94500
2011-01-10,115.110001,115.260002,115.070000,115.260002,95.260384,356600
2011-01-11,115.279999,115.279999,114.940002,115.040001,95.078552,45800
2011-01-12,114.779999,115.029999,114.610001,114.919998,94.979347,124700
2011-01-13,114.959999,115.379997,114.919998,115.370003,95.351265,118700
2011-01-14,115.480003,115.610001,115.230003,115.279999,95.276855,73600
2011-01-18,115.120003,115.199997,114.900002,115.099998,95.128151,122400
2011-01-19,115.080002,115.279999,115.080002,115.239998,95.243797,87500
2011-01-20,114.930000,114.970001,114.599998,114.730003,94.822319,75400
2011-01-21,114.629997,114.900002,114.559998,114.900002,94.962799,38500
2011-01-24,114.889999,115.029999,114.839996,114.910004,94.971100,43300
2011-01-25,115.099998,115.339996,114.860001,115.260002,95.260384,66800
2011-01-26,115.080002,115.129997,114.879997,114.980003,95.028976,103400
2011-01-27,115.050003,115.269997,114.910004,115.220001,95.227257,103200
2011-01-28,115.070000,115.629997,115.050003,115.529999,95.483505,147900
2011-01-31,115.559998,115.610001,115.250000,115.339996,95.326447,105200
2011-02-01,114.900002,114.970001,114.730003,114.790001,95.029297,107700
2011-02-02,114.940002,114.940002,114.410004,114.510002,94.797470,75700
2011-02-03,114.209999,114.320000,114.059998,114.089996,94.449776,58100
2011-02-04,113.879997,113.940002,113.459999,113.610001,94.052414,115400
2011-02-07,113.370003,113.589996,113.309998,113.519997,93.977898,197300
2011-02-08,113.440002,113.500000,112.940002,112.980003,93.530846,522000
2011-02-09,113.150002,113.480003,113.010002,113.320000,93.812355,166500
2011-02-10,113.239998,113.349998,113.000000,113.070000,93.605385,75400
2011-02-11,113.339996,113.550003,113.180000,113.260002,93.762688,140700
2011-02-14,113.139999,113.410004,113.139999,113.279999,93.779190,148700
2011-02-15,113.209999,113.430000,113.199997,113.419998,93.895096,55200
2011-02-16,113.379997,113.529999,113.169998,113.379997,93.862007,49200
2011-02-17,113.650002,113.779999,113.599998,113.699997,94.126892,77700
2011-02-18,113.480003,113.779999,113.449997,113.779999,94.193092,84300
2011-02-22,114.000000,114.480003,113.970001,114.480003,94.772621,63600
2011-02-23,114.440002,114.570000,114.239998,114.320000,94.640175,24600
2011-02-24,114.449997,114.599998,114.309998,114.370003,94.681633,26200
